"","k","error"
"1",1,0.057757644394111
"2",2,0.0554926387315968
"3",3,0.0486976217440544
"4",4,0.0509626274065685
"5",5,0.043035107587769
"6",6,0.0407701019252548
"7",7,0.0385050962627407
"8",8,0.0407701019252548
"9",9,0.043035107587769
"10",10,0.043035107587769
"11",11,0.043035107587769
"12",12,0.043035107587769
"13",13,0.043035107587769
"14",14,0.0419026047565119
"15",15,0.043035107587769
"16",16,0.0419026047565119
"17",17,0.0396375990939977
"18",18,0.0396375990939977
"19",19,0.0396375990939977
"20",20,0.0407701019252548
